name	condition	replicate	intensity
PLA2G16	m_wt	736	NA
FGG	m_wt	736	30.085247258777056
TATDN1	m_wt	736	NA
PRDX3	m_wt	736	29.601658250258655
DHRS11	m_wt	736	24.634170708615887
AMIGO3	m_wt	736	25.172913027256374
NP_001231473	m_wt	736	NA
SRRM2	m_wt	736	NA
MAP2K2	m_wt	736	24.996623816803467
AIMP2	m_wt	736	NA
RPL17-C18orf32	m_wt	736	26.276734271076247
NSF	m_wt	736	NA
HNMT	m_wt	736	NA
H2AFY	m_wt	736	26.64622622669911
PRKCSH	m_wt	736	25.929741501977954
NP_001231532	m_wt	736	NA
TBC1D20	m_wt	736	NA
MTDH	m_wt	736	NA
